,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
G6,22,0,0.13,77.87,819.103,9.536,1.16,574,0.000,0.006,0.283,2,5.34
G7,22,0,0.13,77.87,795.534,8.552,1.08,581,0.000,0.006,0.283,2,5.32
G8,11,1,0.19,87.81,62.692,9.797,15.63,588,0.091,0.017,0.137,2,4.9
G9,21,2,0.16,76.84,276.413,9.044,3.27,595,0.095,0.008,0.299,2,5.46
G10,11,0,0.1,88.9,50.609,8.089,15.98,602,0.000,0.009,0.124,2,5.32
G11,15,4,0.18,80.82,30.424,7.716,25.36,609,0.267,0.012,0.235,2,5.18
G12,14,3,0.08,82.92,1.483,3.378,227.78,616,0.214,0.006,0.205,2,4.68
H1,13,3,0.07,83.93,1.759,2.971,168.90,623,0.231,0.005,0.191,2,4.48
H2,19,8,0.16,72.84,18.142,5.504,30.34,630,0.421,0.008,0.371,2,5.26
H3,25,3,0.17,71.83,819.276,20.009,2.44,637,0.120,0.007,0.390,2,5.72
H4,29,1,0.19,69.81,1159.432,32.889,2.84,644,0.034,0.007,0.430,2,5.4
H5,19,8,0.16,72.84,58.2,7.662,13.16,651,0.421,0.008,0.371,2,5.3
H6,20,4,0.17,75.83,241.413,7.58,3.14,658,0.200,0.009,0.316,2,5.46
H7,11,0,0.1,88.9,58.315,9.969,17.10,665,0.000,0.009,0.124,2,5.08
H8,20,5,0.11,74.89,107.187,7.161,6.68,672,0.250,0.006,0.334,2,5.34
H9,13,3,0.09,83.91,0.961,0.772,80.33,679,0.231,0.007,0.191,2,4.4
H10,13,1,0.18,85.82,61.208,10.999,17.97,686,0.077,0.014,0.163,2,5.26
H11,22,8,0.09,69.91,34.574,7.488,21.66,693,0.364,0.004,0.429,2,5.42
H12,9,1,0.06,89.94,42.749,8.389,19.62,700,0.111,0.007,0.111,2,4.84
